"","npar","Sum Sq","Mean Sq","F value","p_value","psig"
"Metadata_Stiffness",1,11.5005715748195,11.5005715748195,11.5005715748195,0.000714174849149041,"***"
"CollagenI",4,667.541327359404,166.885331839851,166.885331839851,0,"***"
"CollagenIV",4,56797.0092913329,14199.2523228332,14199.2523228332,0,"***"
"Hyaluronic_Acid",4,477.519816612828,119.379954153207,119.379954153207,0,"***"
"TenascinC",4,221.663286922621,55.4158217306552,55.4158217306552,0,"***"
"Laminin",4,128.41233257524,32.1030831438099,32.1030831438099,0,"***"
"Fibronectin",4,455.182209128869,113.795552282217,113.795552282217,0,"***"
"Galectin3",4,518.181359908949,129.545339977237,129.545339977237,0,"***"
"Osteopontin",4,442.020362280581,110.505090570145,110.505090570145,0,"***"
"Decorin",2,71.6769125138891,35.8384562569446,35.8384562569446,6.66133814775094e-16,"***"
"Abb_ECM",28,12972.2084902896,463.293160367486,463.293160367486,0,"***"
"Metadata_Stiffness:CollagenI",4,107.51838165161,26.8795954129025,26.8795954129025,0,"***"
"Metadata_Stiffness:CollagenIV",4,121.602643893966,30.4006609734915,30.4006609734915,0,"***"
"Metadata_Stiffness:Hyaluronic_Acid",4,41.7441848883956,10.4360462220989,10.4360462220989,2.45372298035562e-08,"***"
"Metadata_Stiffness:TenascinC",4,54.8111090734911,13.7027772683728,13.7027772683728,5.65267832541849e-11,"***"
"Metadata_Stiffness:Laminin",4,11.1037802669477,2.77594506673693,2.77594506673693,0.0257926486897538,"*"
"Metadata_Stiffness:Fibronectin",4,181.247808888642,45.3119522221604,45.3119522221604,0,"***"
"Metadata_Stiffness:Galectin3",4,29.6447020568871,7.41117551422176,7.41117551422176,6.5744845780813e-06,"***"
"Metadata_Stiffness:Osteopontin",4,13.3118334568253,3.32795836420632,3.32795836420632,0.0100684911210021,"*"
"Metadata_Stiffness:Decorin",2,9.05663309582254,4.52831654791127,4.52831654791127,0.0109497029014101,"*"
"Metadata_Stiffness:Abb_ECM",28,586.193066694653,20.9354666676662,20.9354666676662,0,"***"
"CollagenI:Abb_ECM",13,1264.68545856555,97.283496812735,97.283496812735,0,"***"
"CollagenIV:Abb_ECM",12,295.05820249659,24.5881835413825,24.5881835413825,0,"***"
"Hyaluronic_Acid:Abb_ECM",10,240.759581419381,24.0759581419381,24.0759581419381,0,"***"
"TenascinC:Abb_ECM",8,132.785950913866,16.5982438642332,16.5982438642332,0,"***"
"Laminin:Abb_ECM",6,146.733594994651,24.4555991657752,24.4555991657752,0,"***"
"Fibronectin:Abb_ECM",4,113.741056508147,28.4352641270368,28.4352641270368,0,"***"
"Galectin3:Abb_ECM",1,1.457074431519,1.457074431519,1.457074431519,0.227590116782228,""
"Metadata_Stiffness:CollagenI:Abb_ECM",13,130.066542847437,10.0051186805721,10.0051186805721,0,"***"
"Metadata_Stiffness:CollagenIV:Abb_ECM",12,338.836128081272,28.2363440067727,28.2363440067727,0,"***"
"Metadata_Stiffness:Hyaluronic_Acid:Abb_ECM",10,103.770246257786,10.3770246257786,10.3770246257786,0,"***"
"Metadata_Stiffness:TenascinC:Abb_ECM",8,63.8287762026414,7.97859702533017,7.97859702533017,1.42970968397549e-10,"***"
"Metadata_Stiffness:Laminin:Abb_ECM",6,39.9029908376871,6.65049847294785,6.65049847294785,5.90746722206603e-07,"***"
"Metadata_Stiffness:Fibronectin:Abb_ECM",4,29.4248314030876,7.3562078507719,7.3562078507719,7.27280893864091e-06,"***"
"Metadata_Stiffness:Galectin3:Abb_ECM",1,49.6245131436804,49.6245131436804,49.6245131436804,2.84905432579308e-12,"***"
